TIME,depth,lat,long,psal,temp
22:26:24,28.99354415,-17.7296409,146.4460095,34.94778701,29.10755048
22:26:26,28.65562453,-17.72964524,146.4460055,34.94842202,29.10819494
22:26:28,28.29782667,-17.72964962,146.4460015,34.94869031,29.10700261
22:26:30,27.94002819,-17.729654,146.4459975,34.94715292,29.10597496
22:26:32,27.58222908,-17.72965837,146.4459934,34.94678363,29.10592991
22:26:34,27.23436824,-17.72966275,146.4459894,34.94709675,29.10521854
22:26:36,26.8865068,-17.72966712,146.4459854,34.94731313,29.10324507
22:26:38,26.52870586,-17.7296715,146.4459814,34.94656364,29.10090143
22:26:40,26.18084323,-17.72967587,146.4459774,34.94554113,29.10133057
22:26:42,25.80316313,-17.72968026,146.4459734,34.94746055,29.10252193
22:26:44,25.41554336,-17.72968461,146.4459694,34.94683385,29.10694513
22:26:46,25.02792286,-17.729689,146.4459654,34.94785266,29.10894034
22:26:48,24.65024063,-17.72969338,146.4459614,34.94756822,29.10827659
22:26:50,24.28249675,-17.72969773,146.4459574,34.94757237,29.10858356
22:26:52,23.92469125,-17.72970211,146.4459534,34.94799589,29.10851984
22:26:54,23.56688513,-17.7297066,146.4459493,34.94818086,29.10470766
22:26:56,23.20907839,-17.72971087,146.4459454,34.94717356,29.10082653
22:26:58,22.86121012,-17.7297154,146.4459412,34.94745599,29.09902058
22:27:00,22.50340214,-17.72971981,146.4459372,34.94705799,29.0987
22:27:02,22.1356544,-17.72972397,146.4459334,34.94706226,29.10017745
22:27:04,21.79772346,-17.7297284,146.4459293,34.94730016,29.10041075
22:27:06,21.43991363,-17.72973274,146.4459253,34.94804498,29.10217925
22:27:08,21.11192073,-17.72973711,146.4459213,34.94859235,29.1102062
22:27:10,20.7839273,-17.72974156,146.4459172,34.94993886,29.11591754
22:27:12,20.44599413,-17.72974594,146.4459132,34.95245487,29.1169
22:27:14,20.11799964,-17.72975031,146.4459092,34.95200117,29.11806767
22:27:16,19.79994388,-17.72975469,146.4459052,34.95237918,29.11954114
22:27:18,19.47194835,-17.72975909,146.4459012,34.95224043,29.12019284
22:27:20,19.1439523,-17.72976351,146.4458971,34.95208621,29.11783961
22:27:22,18.80601643,-17.7297679,146.4458931,34.9505194,29.11435885
22:27:24,18.44820137,-17.72977228,146.4458891,34.95108929,29.10815654
22:27:26,18.09038568,-17.72977668,146.4458851,34.94848224,29.1068266
22:27:28,17.72263001,-17.72978106,146.4458811,34.9494345,29.10766484
22:27:30,17.36481306,-17.72978545,146.445877,34.94929652,29.10763554
22:27:32,17.01693486,-17.72978986,146.445873,34.94953007,29.10597841
22:27:34,16.67899548,-17.72979424,146.445869,34.94886151,29.10461975
22:27:36,16.36093438,-17.72979839,146.4458652,34.94869565,29.10530524
22:27:38,16.03293334,-17.72980278,146.4458612,34.94953409,29.10631659
22:27:40,15.69499234,-17.72980719,146.4458571,34.95052184,29.11006817
22:27:42,15.35705077,-17.72981178,146.4458529,34.95026724,29.11338933
22:27:44,15.01910865,-17.72981584,146.4458492,34.95081182,29.11279027
22:27:46,14.68116597,-17.7298202,146.4458452,34.95067716,29.11161484
22:27:48,14.34322273,-17.72982457,146.4458412,34.95056751,29.11227059
22:27:50,14.00527894,-17.72982896,146.4458372,34.95111397,29.11331861
22:27:52,13.67727413,-17.72983335,146.4458332,34.95142748,29.11346911
22:27:54,13.3492688,-17.72983769,146.4458292,34.95097899,29.11469003
22:27:56,13.02126294,-17.7298421,146.4458251,34.95198692,29.1154
22:27:58,12.68331697,-17.72984646,146.4458211,34.952225,29.1149423
22:28:00,12.35531004,-17.72985081,146.4458172,34.95149149,29.11489063
22:28:02,12.01736297,-17.72985528,146.4458131,34.95166179,29.11448613
22:28:04,11.65953604,-17.72985971,146.445809,34.951292,29.11477744
22:28:06,11.3017085,-17.72986414,146.445805,34.95163629,29.11489536
22:28:08,10.95382,-17.7298683,146.4458011,34.95172377,29.115317
